,0,1,2,3,4,5,6
0,71900,2018,114000,1395,0,32,1
1,19900,2006,242000,1595,0,7,1
2,68500,2016,204600,1598,1,32,2
3,18900,2013,336500,1199,1,35,1
4,114900,2017,83200,1968,1,32,2
5,112750,2018,101000,1984,0,44,1
6,129000,2022,3000,1498,0,7,1
7,5900,2006,190300,1595,0,16,-
8,85200,2018,96000,1498,0,16,1
9,55900,2014,204000,1968,1,32,1
10,19700,2008,268000,1896,1,47,1
11,51000,1967,51000,1300,0,15,-
12,20000,2006,302000,1968,1,16,2
13,29950,2012,241000,1598,1,16,1
14,43300,2014,83000,1197,0,16,1
15,119000,2019,72300,1968,1,44,1
16,72000,2019,110000,1498,0,16,-
17,9500,2004,246283,1984,0,16,-
18,28700,2012,256000,1598,1,32,1
19,13000,2009,177000,1896,1,16,-
20,67900,2010,307000,4134,1,46,1
21,64900,2015,126000,1968,1,32,1
22,73000,2015,203000,1968,1,32,1
23,83000,2014,99900,1984,0,16,-
24,22500,2009,292000,1968,1,16,1
25,55000,2010,101000,1984,0,16,2
26,88900,2020,22000,999,0,41,1
27,53000,2015,124000,1598,1,16,2
28,13900,2006,350000,1896,1,16,1
29,9900,2005,124206,1198,0,35,2
30,18900,2008,174215,1390,0,16,1
31,33900,2011,106765,1390,0,16,1
32,12900,2009,61000,1198,0,14,-
33,3999,2000,141000,999,0,35,2
34,51700,2017,146550,1598,1,16,1
35,133455,2020,44700,1498,0,16,2
36,69999,2016,212000,1968,1,32,1
37,18700,2012,149211,1198,0,35,1
38,20000,2009,354000,2460,1,48,-
39,59950,2019,25000,1498,0,41,-
40,35000,2011,341637,1968,1,47,2
41,15900,2005,219860,1390,0,16,-
42,28900,2010,218056,1598,1,16,2
43,66900,2014,124532,1968,1,44,1
44,86900,2020,174000,1968,1,32,-
45,26200,2009,194400,1390,0,16,-
46,299999,2018,64000,2967,1,46,2
47,52800,2016,170000,1798,0,16,-
48,5500,2007,270000,1198,0,35,-
49,37500,2013,78350,1390,0,35,2
50,40000,2010,202000,1984,0,16,0
51,19999,2009,252000,1968,1,32,1
52,49900,2014,246000,1968,1,47,2
53,32900,2011,108500,1798,0,32,0
54,23600,2008,197600,1390,0,38,0
55,56500,2016,299000,1598,1,47,1
56,21500,2010,302000,1598,1,16,1
57,79900,2017,100000,1968,1,32,1
58,12500,2004,166000,1984,0,32,-
59,74600,2017,264007,1968,1,32,1
60,9500,1999,290000,1984,0,4,-
61,8900,2001,336000,1896,1,32,2
62,9500,2002,260000,1896,1,4,2
63,38900,2011,170000,1390,0,44,1
64,18900,2012,136000,1390,0,16,-
65,8900,2001,190049,1595,0,4,2
66,12900,2007,178300,1198,0,35,2
67,24700,2010,281000,1896,1,7,1
68,14000,2003,170000,1984,0,16,-
69,9800,2003,227000,1896,1,16,-
70,65000,2016,162000,1598,1,32,1
71,71500,2020,17200,1498,0,41,-
72,45500,2019,145700,1598,1,16,-
73,44900,2014,131000,1598,1,32,2
74,51000,2016,171000,1598,1,16,1
75,156000,2019,100537,1984,0,2,2
76,129900,2018,85000,1968,1,2,1
77,7600,2004,166000,1198,0,35,1
78,85000,2015,90000,1984,0,16,1
79,85000,2015,82866,1984,0,16,-
80,71800,2014,75000,1968,1,44,2
81,17900,2005,213000,1984,0,32,-
82,38900,2013,150000,1598,1,16,1
83,13900,2005,241000,1984,0,32,1
84,139900,2018,63000,1968,1,2,1
85,127000,2021,11000,1498,0,7,2
86,16900,2009,237000,1896,1,16,1
87,132000,2016,157630,2967,1,46,1
88,33900,2008,194000,1984,0,44,1
89,64800,2017,199000,1395,0,32,1
90,42000,1996,451101,2370,1,48,-
91,42500,2014,210000,1968,1,32,1
92,58000,2016,169000,1984,0,44,1
93,26000,2006,194000,1390,0,47,-
94,69900,2016,195000,1968,1,32,1
95,255000,2018,125000,2967,1,46,1
96,31999,2012,214000,1598,1,16,1
97,267000,2018,99229,1968,1,30,2
98,43900,2016,89000,1197,0,47,-
99,80000,2017,80824,1968,1,7,1
100,34500,2016,110000,999,0,49,2
101,26700,2009,349000,1968,1,7,2
102,19999,2009,159000,1198,0,35,-
103,15000,2013,250000,999,0,49,-
104,74500,2015,253000,1968,1,32,2
105,119999,2019,71000,1498,0,44,1
106,18900,2005,215497,1968,1,32,-
107,12900,2008,170000,1198,0,35,0
108,109000,2014,263500,1968,1,30,1
109,39900,2017,181810,1598,1,16,-
110,28500,2002,218100,2461,1,48,-
111,39900,2010,226000,1968,1,10,2
112,46500,2015,197000,1598,1,32,0
113,27900,2011,254000,1598,1,16,1
114,29900,2013,160000,1390,0,44,-
115,35700,2010,160000,1968,1,48,1
116,6900,1990,348299,1781,1,25,-
117,106900,2017,91000,1984,0,44,1
118,14400,2005,220000,1390,0,16,-
119,99900,2020,69650,1968,1,44,-
120,34900,2010,283066,1968,1,39,-
121,84900,2018,85500,1968,1,16,1
122,52600,2014,281787,1968,1,7,2
123,199998,2021,69955,1968,1,9,-
124,17500,2007,192000,1896,1,16,1
125,18000,2006,253444,1896,1,25,-
126,18300,2009,224893,1198,0,35,1
127,55777,2016,85743,1197,0,16,1
128,61900,2015,265000,1968,1,10,2
129,6900,2003,274000,1390,1,16,0
130,41900,2015,257900,1968,1,7,1
131,55000,2015,146000,1984,0,16,-
132,45000,2017,183500,1598,1,16,0
133,14900,2001,190000,1984,0,16,-
134,46500,2015,230000,1395,0,16,1
135,39999,2014,120000,1598,1,16,0
136,265000,2018,89671,1968,1,30,2
137,45700,2011,169000,1395,0,44,2
138,159800,2018,84300,1968,1,44,2
139,39900,2011,226250,1968,1,32,2
140,26900,2012,197993,1390,0,38,-
141,99000,2018,30380,1968,1,32,1
142,7400,2001,380000,1896,1,32,2
143,5500,2001,224104,1896,1,16,-
144,119900,2018,133000,1968,1,2,1
145,9900,2003,187000,1598,0,16,2
146,13400,2006,200000,1968,1,47,0
147,119000,2021,51000,1498,0,41,2
148,29999,2011,273000,1968,1,32,1
149,20999,2008,240000,1798,0,10,-
150,53900,2011,169000,1968,1,44,1
151,21500,2010,165000,1197,0,16,1
152,31900,2012,191000,1598,1,47,0
153,75999,2017,205000,1968,1,32,1
154,42000,2013,207000,1598,1,16,1
155,34900,2016,114000,1968,1,7,-
156,5000,1995,400000,1893,1,48,0
157,28000,1999,460427,2461,1,9,-
158,113160,2015,257000,1968,1,30,1
159,55500,2014,139000,1984,0,10,0
160,3900,2004,215000,1198,0,35,-
161,94000,2018,77040,1498,0,41,1
162,320000,2020,51000,1968,1,30,1
163,4900,2003,178000,1390,0,4,-
164,79900,2019,37000,1984,0,44,-
165,119900,2018,42000,1498,0,44,1
166,8600,2008,330000,1968,1,32,-
167,28700,2015,432253,1598,1,16,0
168,32500,2012,214300,1197,0,16,2
169,13900,2004,234000,1598,0,16,2
170,20700,2009,195912,1198,1,35,2
171,69900,2015,93719,1968,1,32,1
172,86900,2017,93000,1968,1,32,1
173,87000,2013,138000,2967,1,46,-
174,11900,2009,131000,1198,0,35,1
175,41000,2011,252000,1968,1,32,1
176,59900,2012,160000,1968,1,39,2
177,28900,2012,346000,1598,1,7,1
178,25900,2006,246000,1968,1,39,-
179,109700,2002,190144,2500,1,30,-
180,68000,2011,264000,1968,1,1,2
181,21999,2012,238000,1598,1,16,-
182,96000,2018,127600,1968,1,16,2
183,16999,2007,165700,1390,0,25,1
184,62730,2012,217000,2967,1,34,1
185,18999,2009,172600,1598,1,16,1
186,72000,2013,334000,1968,1,1,2
187,9900,2005,327000,1984,0,32,-
188,33900,2010,350000,1968,1,32,-
189,10500,2008,298000,1395,0,16,-
190,96900,2020,169000,1598,1,41,1
191,59900,2014,187000,1968,1,44,1
192,33950,2008,216000,1968,1,44,1
193,212182,2019,82493,1984,0,32,-
194,139000,2018,152000,1968,1,2,2
195,93000,2015,138813,1968,1,32,-
196,15999,2009,178302,1198,0,35,2
197,35900,2009,121000,1390,0,44,1
198,39500,2009,218000,1390,0,38,-
199,34900,2010,182258,1390,0,44,1
200,24750,2007,73292,1390,0,16,-
201,95777,2001,480000,2461,1,8,-
202,44900,2013,278000,1968,1,7,1
203,42900,2013,177000,1390,0,32,1
204,259100,2022,8400,1984,0,16,1
205,29999,2011,189995,1598,1,25,1
206,32900,2011,109000,1390,0,25,1
207,69990,2017,127000,1968,1,16,1
208,59800,2012,267841,1968,1,12,2
209,29000,2008,34075,1390,0,25,-
210,13500,2008,235000,1422,1,35,-
211,7500,2000,298000,1598,0,16,2
212,68900,2018,170000,1968,1,32,1
213,84999,2016,106000,1999,1,47,-
214,8900,2003,282000,1984,0,32,1
215,30500,2008,215000,1390,0,44,1
216,27500,2009,214000,1390,0,38,1
217,14500,2005,136820,1390,0,35,-
218,77500,2016,107363,1984,0,10,2
219,70000,2017,283000,1968,1,32,1
220,55900,2022,10000,999,0,35,-
221,18900,2004,153000,2771,0,32,-
222,103500,2018,138263,1984,0,2,0
223,189000,2023,2,1498,0,32,1
224,13500,2005,314023,1896,1,39,1
225,12500,1996,110000,1781,0,16,-
226,45800,2015,126400,1395,0,16,0
227,14300,2005,312000,1896,1,16,1
228,35000,2006,195000,3597,0,32,2
229,42500,2008,245000,2967,1,46,2
230,55500,2019,146314,1598,1,16,1
231,9700,2003,376000,1896,1,32,-
232,27000,2010,180900,1968,1,16,2
233,24500,2009,288000,1968,1,13,1
234,159000,2018,61000,1968,1,44,-
235,78000,2015,266000,1968,1,32,-
236,38500,2011,250000,1968,1,32,2
237,16500,2004,225190,1984,0,16,-
238,22900,2011,152000,1199,1,35,1
239,285360,2022,1100,2967,1,46,-
240,20900,2010,230000,1968,1,44,-
241,24999,2007,129802,1595,0,47,1
242,37500,2013,131000,1197,0,16,1
243,32900,2012,252000,1390,1,32,-
244,36000,2016,28230,1598,1,16,-
245,104000,2017,142000,1968,1,7,2
246,24900,2009,252000,1968,1,16,-
247,25900,2012,303000,1598,1,16,-
248,10500,1983,357000,1595,0,16,-
249,30900,2011,205090,1998,1,16,1
250,21500,2008,232000,1968,1,32,1
251,42743,2012,87000,1984,0,32,1
252,55500,2014,139000,1984,0,32,-
253,65900,2012,191000,1968,1,39,-
254,142900,2019,49500,1984,0,44,1
255,5600,1999,254000,1984,1,4,1
256,7200,1999,150000,1598,0,16,2
257,27900,2008,185400,1984,0,10,1
258,26000,2009,126000,1390,0,7,-
259,8300,2004,116000,1198,0,35,2
260,109900,2019,90000,1968,1,44,0
261,27900,2010,111000,1896,1,4,2
